TCR,AUC_within_TCR,AUC_LOO_TCR
a3a,0.8860532266087822,0.5267605180078604
TIL1383I,0.717013653013653,0.6723305063730596
TCR81-14,0.770508473008473,0.6139628427128426
18A2,0.8090207463102199,0.6805755917589024
NYE-S1,0.8015030513468014,0.6120933909395448
TCR6,0.8019616080800291,0.5572843540708464
TCR7,0.7844776278884277,0.7036243386243387
A6,0.7711675048807402,0.6307603207603207
T1,0.8483936824805763,0.7059142475809143
FLT3DY,0.8042464333135577,0.5780199927736963
A23,0.8531938070443819,0.775056669052732
TCR2-T,0.7731263736263736,0.5724286822192878
R24,0.8423891694725029,0.6833126946602124
868Z11,0.7793448154115448,0.703470387680914
TCR-1E6,0.7477169973101452,0.6604601470880541
APN-TCR,0.7910183680233023,0.5861168801199953
EWW-TCR,0.784579161018555,0.5616370010787486
A11Va,0.8217323260937001,0.6744609788359789
TCR-F5,0.8766129127791562,
TCR-3598-2,0.8720266209969074,
MBP-TCR,0.9123668433962552,
B3K508,0.7852501202501203,
