"","tcr","auc","fpeptide","pooling"
"1","B3K508",0.731646825396825,0.3,"BATMAN unpooled"
"2","MBP-TCR",0.946409030784031,0.3,"BATMAN unpooled"
"3","TCR-3598-2",0.833688114442945,0.3,"BATMAN unpooled"
"4","TCR-F5",0.868342154588521,0.3,"BATMAN unpooled"
"5","B3K508",0.745248090053285,0.4,"BATMAN unpooled"
"6","MBP-TCR",0.912920669715933,0.4,"BATMAN unpooled"
"7","TCR-3598-2",0.854944492324668,0.4,"BATMAN unpooled"
"8","TCR-F5",0.883710707865442,0.4,"BATMAN unpooled"
"9","B3K508",0.751197870881779,0.5,"BATMAN unpooled"
"10","MBP-TCR",0.915334574804656,0.5,"BATMAN unpooled"
"11","TCR-3598-2",0.858630133598666,0.5,"BATMAN unpooled"
"12","TCR-F5",0.889970105478036,0.5,"BATMAN unpooled"
"13","B3K508",0.764901662123884,0.7,"BATMAN unpooled"
"14","MBP-TCR",0.922504129472341,0.7,"BATMAN unpooled"
"15","TCR-3598-2",0.864992840720734,0.7,"BATMAN unpooled"
"16","TCR-F5",0.894128012643169,0.7,"BATMAN unpooled"
"17","B3K508",0.768562169312169,0.9,"BATMAN unpooled"
"18","MBP-TCR",0.927502693221811,0.9,"BATMAN unpooled"
"19","TCR-3598-2",0.868128820317072,0.9,"BATMAN unpooled"
"20","TCR-F5",0.898805001401112,0.9,"BATMAN unpooled"
"21","B3K508",0.771364438031105,1,"BATMAN unpooled"
"22","MBP-TCR",0.928159201365084,1,"BATMAN unpooled"
"23","TCR-3598-2",0.867151971045371,1,"BATMAN unpooled"
"24","TCR-F5",0.900348495721672,1,"BATMAN unpooled"
"25","B3K508",0.697560556392078,0.1,"pTEAM"
"26","MBP-TCR",0.797075935750808,0.1,"pTEAM"
"27","TCR-3598-2",0.740235797851686,0.1,"pTEAM"
"28","TCR-F5",0.774761800863177,0.1,"pTEAM"
"29","B3K508",0.676942079525413,0.2,"pTEAM"
"30","MBP-TCR",0.818940941350316,0.2,"pTEAM"
"31","TCR-3598-2",0.786685121172944,0.2,"pTEAM"
"32","TCR-F5",0.801216761807627,0.2,"pTEAM"
"33","B3K508",0.676966550424884,0.3,"pTEAM"
"34","MBP-TCR",0.846454692087596,0.3,"pTEAM"
"35","TCR-3598-2",0.805446799152326,0.3,"pTEAM"
"36","TCR-F5",0.821392759264508,0.3,"pTEAM"
"37","B3K508",0.707007455507456,0.4,"pTEAM"
"38","MBP-TCR",0.858585568013141,0.4,"pTEAM"
"39","TCR-3598-2",0.826649872282197,0.4,"pTEAM"
"40","TCR-F5",0.845401769236607,0.4,"pTEAM"
"41","B3K508",0.695064674523008,0.5,"pTEAM"
"42","MBP-TCR",0.868654182446094,0.5,"pTEAM"
"43","TCR-3598-2",0.836022205049082,0.5,"pTEAM"
"44","TCR-F5",0.857283108210568,0.5,"pTEAM"
"45","B3K508",0.699136664261664,0.7,"pTEAM"
"46","MBP-TCR",0.872528884731826,0.7,"pTEAM"
"47","TCR-3598-2",0.851007795907701,0.7,"pTEAM"
"48","TCR-F5",0.859838449155802,0.7,"pTEAM"
"49","B3K508",0.712217732884399,0.9,"pTEAM"
"50","MBP-TCR",0.877941796588488,0.9,"pTEAM"
"51","TCR-3598-2",0.862534562448881,0.9,"pTEAM"
"52","TCR-F5",0.873667848866691,0.9,"pTEAM"
"191","TCR-F5",0.882819008264222,1,"pTEAM"
"201","TCR-3598-2",0.864412027737682,1,"pTEAM"
"211","MBP-TCR",0.878743644291438,1,"pTEAM"
"221","B3K508",0.714537638287638,1,"pTEAM"
